Name,Email,Age,State,Major,GPA,Status,Skills,Expected_Salary
Emily Wright,emily.wright@gmail.com,23,Nevada,Business,3.39,Job Seeking,"PowerBI, SQL",46569
Regina Donovan,regina.donovan@gmail.com,24,Idaho,Psychology,3.17,Job Seeking,"Excel, Project Management",49614
Andrew Rios,andrew.rios@gmail.com,22,New Jersey,Marketing,3.21,Job Seeking,"Excel, PowerBI",60109
Krystal Taylor,krystal.taylor@gmail.com,24,Florida,Biology,3.79,Employed,"Excel, Python",50919
Shawn Jones,shawn.jones@gmail.com,22,Massachusetts,Finance,2.96,Employed,"Excel, Project Management",50472
Brenda Hogan,brenda.hogan@gmail.com,22,Tennessee,Psychology,3.87,Employed,"PowerBI, Excel",63151
Gabriel Patterson,gabriel.patterson@gmail.com,22,Missouri,Psychology,3.59,Employed,"Java, SQL",64345
Diana Marks,diana.marks@gmail.com,23,Wisconsin,Marketing,3.4,Employed,"PowerBI, Project Management",47029
Jonathan Sandoval,jonathan.sandoval@gmail.com,22,North Dakota,Biology,3.52,Job Seeking,"Project Management, PowerBI",61828
Kelly Daniels,kelly.daniels@gmail.com,23,Arizona,Biology,2.96,Job Seeking,"SQL, Excel",46788
Robert Floyd,robert.floyd@gmail.com,23,South Carolina,Business,3.59,Employed,"Excel, SQL",62187
Mary Walker,mary.walker@gmail.com,24,Montana,Psychology,3.52,Employed,"Java, SQL",55936
Shawn Thornton,shawn.thornton@gmail.com,23,Wyoming,Computer Science,3.56,Job Seeking,"Java, Python",64518
Michael Walker,michael.walker@gmail.com,22,Nebraska,Computer Science,3.23,Employed,"PowerBI, Excel",60620
Lisa Roberts,lisa.roberts@gmail.com,24,Arizona,Computer Science,3.57,Job Seeking,"PowerBI, Python",51492
Jennifer Hayes,jennifer.hayes@gmail.com,22,South Dakota,Engineering,2.9,Job Seeking,"Project Management, Python",49030
Aaron Phillips,aaron.phillips@gmail.com,23,Michigan,Business,3.56,Employed,"Python, Java",58969
Michael Martinez,michael.martinez@gmail.com,23,Tennessee,Communications,3.18,Job Seeking,"Excel, Java",63996
Anthony Walton,anthony.walton@gmail.com,23,Rhode Island,Finance,2.96,Job Seeking,"PowerBI, Python",64591
Laura Harris,laura.harris@gmail.com,23,Wisconsin,Finance,3.73,Employed,"Python, Excel",52459
Katie Reyes,katie.reyes@gmail.com,22,Utah,Finance,3.85,Job Seeking,"SQL, Python",45855
Jason Bailey,jason.bailey@gmail.com,24,Kentucky,Biology,3.06,Job Seeking,"Python, Excel",54764
Michael Chaney,michael.chaney@gmail.com,24,Virginia,Computer Science,3.74,Employed,"SQL, Project Management",59559
Ariana Nguyen,ariana.nguyen@gmail.com,22,Wisconsin,Engineering,3.79,Job Seeking,"Project Management, Java",56549
George Wilson,george.wilson@gmail.com,24,New Mexico,Engineering,2.97,Job Seeking,"Project Management, Python",55478
Laura Kim,laura.kim@gmail.com,24,Rhode Island,Finance,2.99,Job Seeking,"PowerBI, Excel",51965
Chris Taylor,chris.taylor@gmail.com,22,Missouri,Biology,2.88,Job Seeking,"Project Management, Excel",59334
Emma Mendoza,emma.mendoza@gmail.com,24,Alaska,Business,3.52,Job Seeking,"Python, Java",52310
Monica Parker,monica.parker@gmail.com,22,Maryland,Finance,3.68,Job Seeking,"SQL, Python",47275
Ashley Carey,ashley.carey@gmail.com,22,Washington,Communications,3.26,Job Seeking,"PowerBI, Python",47900
Michael Horne,michael.horne@gmail.com,23,Alaska,Business,3.41,Employed,"Excel, Project Management",63175
Lisa Carter,lisa.carter@gmail.com,24,Virginia,Engineering,2.99,Employed,"Project Management, Java",57432
Elizabeth Nichols,elizabeth.nichols@gmail.com,24,North Dakota,Business,3.51,Job Seeking,"SQL, Python",60466
Aaron Brown,aaron.brown@gmail.com,23,Idaho,Psychology,3.61,Employed,"SQL, Excel",46147
Billy Peterson,billy.peterson@gmail.com,22,Florida,Psychology,3.36,Job Seeking,"Excel, PowerBI",46707
Adam Potts,adam.potts@gmail.com,24,Oklahoma,Communications,3.19,Job Seeking,"PowerBI, Python",61589
Ashley Foster,ashley.foster@gmail.com,24,Missouri,Biology,2.83,Job Seeking,"Python, Excel",46297
Christine Harrison,christine.harrison@gmail.com,24,Massachusetts,Psychology,3.31,Job Seeking,"Python, Excel",57029
Jacqueline Escobar,jacqueline.escobar@gmail.com,23,Indiana,Business,3.49,Job Seeking,"SQL, PowerBI",51291
Chelsea Brown,chelsea.brown@gmail.com,23,Connecticut,Business,2.97,Job Seeking,"Project Management, Java",50028
Benjamin Mcmillan,benjamin.mcmillan@gmail.com,22,Delaware,Finance,2.89,Job Seeking,"Excel, SQL",53772
Cheryl Myers,cheryl.myers@gmail.com,22,West Virginia,Business,3.29,Employed,"Python, Excel",62013
Andrea Ramirez,andrea.ramirez@gmail.com,22,West Virginia,Communications,3.62,Employed,"Python, Java",59467
Alexander Randolph,alexander.randolph@gmail.com,23,New York,Computer Science,2.89,Job Seeking,"PowerBI, Excel",51369
Drew Winters,drew.winters@gmail.com,23,Missouri,Engineering,3.03,Job Seeking,"SQL, PowerBI",57842
Carlos Miller,carlos.miller@gmail.com,23,Pennsylvania,Marketing,2.83,Job Seeking,"Java, Excel",46719
Susan Ellis,susan.ellis@gmail.com,24,Georgia,Finance,2.9,Job Seeking,"Excel, Java",60479
Alice Chandler,alice.chandler@gmail.com,23,North Carolina,Psychology,3.65,Job Seeking,"PowerBI, Python",60282
Laura Anderson,laura.anderson@gmail.com,23,Colorado,Computer Science,3.09,Job Seeking,"Python, Project Management",56649
Denise Carter,denise.carter@gmail.com,22,Massachusetts,Biology,3.65,Job Seeking,"Java, SQL",62491
Courtney Lewis,courtney.lewis@gmail.com,23,Iowa,Marketing,3.16,Employed,"Project Management, Excel",56137
Scott Edwards,scott.edwards@gmail.com,23,Alabama,Finance,3.48,Job Seeking,"PowerBI, Python",62386
Sean Quinn,sean.quinn@gmail.com,22,Delaware,Engineering,2.88,Job Seeking,"Java, SQL",60811
Richard Stein,richard.stein@gmail.com,22,Massachusetts,Marketing,3.25,Job Seeking,"SQL, PowerBI",56277
Michelle Casey,michelle.casey@gmail.com,24,New York,Marketing,3.78,Job Seeking,"Java, SQL",50186
Patrick Sims,patrick.sims@gmail.com,23,Alaska,Biology,3.88,Job Seeking,"Python, Project Management",53828
Katherine Kramer,katherine.kramer@gmail.com,22,Alaska,Business,3.71,Job Seeking,"PowerBI, Project Management",62465
Aaron Lawson,aaron.lawson@gmail.com,23,Utah,Computer Science,3.35,Job Seeking,"SQL, Excel",47827
Brian Johns,brian.johns@gmail.com,22,Oklahoma,Communications,3.47,Employed,"Excel, Java",47795
Bridget Berg,bridget.berg@gmail.com,23,Michigan,Engineering,3.89,Job Seeking,"PowerBI, SQL",58320
Nicole Hanson,nicole.hanson@gmail.com,22,Michigan,Finance,3.72,Employed,"Project Management, Java",47633
Stephen Davis,stephen.davis@gmail.com,23,Georgia,Marketing,3.86,Job Seeking,"PowerBI, Python",59766
Sarah Gomez,sarah.gomez@gmail.com,24,North Carolina,Biology,3.69,Employed,"PowerBI, Java",49114
Jonathan Smith,jonathan.smith@gmail.com,23,Nebraska,Engineering,3.03,Job Seeking,"PowerBI, Python",45819
Adam Marsh,adam.marsh@gmail.com,23,Oregon,Business,3.65,Employed,"Project Management, Java",52960
